nama_variabel,jenis_makanan,tahun,nama_wilayah,value
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Simeulue,0.007
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Singkil,0.005
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Selatan,-
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Tenggara,0.019
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Timur,0.026
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Tengah,0.031
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Barat,0.006
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Besar,0.036
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pidie,0.007
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bireuen,0.012
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Utara,0.015
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Barat Daya,0.005
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Gayo Lues,0.039
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Tamiang,0.021
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Nagan Raya,0.035
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Aceh Jaya,0.008
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bener Meriah,0.029
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pidie Jaya,0.018
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Banda Aceh,0.096
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Sabang,0.098
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Langsa,0.028
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Lhokseumawe,0.037
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Subulussalam,0.016
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Nias,0.006
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Mandailing Natal,0.009
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tapanuli Selatan,0.009
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tapanuli Tengah,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tapanuli Utara,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Toba Samosir,0.038
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Labuhan Batu,0.004
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Asahan,0.003
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Simalungun,0.007
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Dairi,0.010
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Karo,0.029
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Deli Serdang,0.058
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Langkat,0.024
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Nias Selatan,0.001
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Humbang Hasundutan,0.001
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pakpak Bharat,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Samosir,0.005
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Serdang Bedagai,0.001
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Batu Bara,0.011
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Padang Lawas Utara,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Padang Lawas,0.006
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Labuhan Batu Selatan,0.003
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Labuhan Batu Utara,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Nias Utara,0.001
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Nias Barat,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Sibolga,0.031
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Tanjung Balai,0.075
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Pematang Siantar,0.036
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Tebing Tinggi,0.091
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Medan,0.095
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Binjai,0.055
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Padangsidimpuan,0.031
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Gunungsitoli,0.015
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kepulauan Mentawai,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pesisir Selatan,0.006
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Solok,0.004
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sijunjung,0.003
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tanah Datar,0.007
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Padang Pariaman,0.014
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Agam,0.030
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lima Puluh Kota,0.004
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pasaman,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Solok Selatan,0.004
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Dharmasraya,0.023
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pasaman Barat,0.003
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Padang,0.052
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Solok,0.080
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Sawah Lunto,0.042
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Padang Panjang,0.069
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Bukittinggi,0.070
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Payakumbuh,0.023
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Pariaman,0.070
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kuantan Singingi,0.018
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Indragiri Hulu,0.025
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Indragiri Hilir,0.034
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pelalawan,0.029
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Siak,0.031
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kampar,0.019
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Rokan Hulu,0.018
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bengkalis,0.038
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Rokan Hilir,0.028
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kepulauan Meranti,0.035
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Pekanbaru,0.150
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Dumai,0.025
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kerinci,0.005
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Merangin,0.009
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sarolangun,0.005
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Batang Hari,0.006
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Muaro Jambi,0.031
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tanjung Jabung Timur,0.041
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tanjung Jabung Barat,0.114
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tebo,0.023
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bungo,0.018
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Jambi,0.151
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Sungai Penuh,0.022
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ogan Komering Ulu,0.021
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ogan Komering Ilir,0.038
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Muara Enim,0.028
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lahat,0.019
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Musi Rawas,0.017
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Musi Banyuasin,0.060
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Banyu Asin,0.076
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ogan Komering Ulu Selatan,0.016
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ogan Komering Ulu Timur,0.027
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ogan Ilir,0.025
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Empat Lawang,0.009
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Penukal Abab Lematang Ilir,0.019
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Musi Rawas Utara,0.010
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Palembang,0.198
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Prabumulih,0.055
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Pagar Alam,0.026
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Lubuklinggau,0.057
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bengkulu Selatan,0.014
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Rejang Lebong,0.006
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bengkulu Utara,0.010
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kaur,0.009
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Seluma,0.003
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Mukomuko,0.005
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lebong,0.007
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kepahiang,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bengkulu Tengah,0.008
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Bengkulu,0.053
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lampung Barat,0.035
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tanggamus,0.014
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lampung Selatan,0.037
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lampung Timur,0.018
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lampung Tengah,0.010
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lampung Utara,0.021
